total_amount,loan_lenght,month_pay,debt_income_ratio,month_income,fico_score,open_credit_lines,tot_credit_lines,rev_credit_bal,inquiries_6_month,del_last_2yrs,public_records,employ_length,status,home_any,home_mortage,home_none,home_own,home_rent
500,36,15.67,0.0,275.0,732.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
500,36,15.69,4.27,1500.0,732.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
500,36,15.75,14.02,8333.33,732.0,4.0,6.0,56.0,1.0,0.0,0.0,1.0,0,1,0,0,0,0
500,36,15.76,2.15,2750.0,732.0,6.0,6.0,3461.0,10.0,0.0,0.0,2.0,0,0,0,0,0,1
500,36,15.91,0.0,166.67,695.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,1,0,0,0,0,1
500,36,16.08,22.17,4916.67,732.0,9.0,26.0,65414.0,0.0,0.0,0.0,7.0,0,0,1,0,0,0
500,36,16.25,14.17,2166.67,695.0,8.0,28.0,5643.0,0.0,0.0,0.0,3.0,0,0,1,0,0,0
500,36,16.31,3.04,658.67,695.0,3.0,6.0,44.0,2.0,1.0,0.0,0.0,0,0,1,0,0,0
500,36,16.47,3.69,1625.0,669.0,8.0,15.0,12229.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1
500,36,16.73,19.2,1500.0,650.0,15.0,36.0,9231.0,1.0,4.0,0.0,1.0,0,0,0,0,0,1
500,36,16.85,10.0,2240.0,650.0,4.0,8.0,182.0,6.0,0.0,0.0,0.0,0,0,0,0,0,1
550,36,18.28,0.96,1560.0,669.0,1.0,1.0,182.0,2.0,0.0,1.0,1.0,0,0,0,0,0,1
600,36,19.62,1.2,1250.0,695.0,1.0,1.0,441.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
600,36,19.8,4.8,416.67,669.0,4.0,4.0,228.0,3.0,0.0,0.0,0.0,0,0,0,0,0,1
1000,60,19.87,16.07,3714.0,770.0,11.0,23.0,464.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
1000,60,20.22,20.09,4500.0,770.0,6.0,18.0,9719.0,0.0,0.0,0.0,5.0,0,0,1,0,0,0
600,36,20.29,22.03,1166.67,669.0,2.0,3.0,195.0,0.0,0.0,0.0,3.0,0,0,0,0,0,1
600,36,20.29,28.61,2083.33,770.0,9.0,21.0,45623.0,2.0,0.0,0.0,10.0,0,0,0,0,0,1
600,36,20.53,19.42,2600.0,650.0,9.0,15.0,14670.0,3.0,0.0,0.0,0.0,0,0,0,0,0,1
1000,60,21.25,22.01,3166.67,732.0,10.0,27.0,36705.0,0.0,0.0,0.0,7.0,0,0,1,0,0,0
600,36,21.59,26.89,1985.5,650.0,4.0,5.0,495.0,2.0,0.0,0.0,1.0,1,1,0,0,0,0
1000,60,21.74,5.34,5000.0,695.0,10.0,31.0,1427.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
1000,60,21.81,19.75,800.0,732.0,7.0,11.0,5308.0,1.0,0.0,0.0,2.0,0,0,1,0,0,0
1000,60,21.99,8.1,7000.0,695.0,12.0,26.0,22839.0,0.0,1.0,0.0,10.0,0,0,1,0,0,0
1000,60,22.24,6.45,4683.0,732.0,5.0,21.0,15399.0,4.0,0.0,0.0,5.0,0,0,1,0,0,0
725,36,22.51,3.6,1000.0,790.0,4.0,10.0,1814.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
1000,60,22.59,9.15,2000.0,695.0,14.0,30.0,5204.0,2.0,0.0,0.0,5.0,0,0,1,0,0,0
1000,60,22.79,22.5,800.0,695.0,4.0,4.0,1327.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
1000,60,22.94,10.8,3000.0,695.0,9.0,13.0,7496.0,0.0,0.0,0.0,2.0,0,0,1,0,0,0
1000,60,23.01,9.88,2500.0,695.0,8.0,10.0,5947.0,1.0,0.0,0.0,4.986808401639344,1,0,0,0,0,1
1000,60,23.17,26.0,1200.0,732.0,4.0,8.0,4276.0,1.0,0.0,0.0,3.0,0,0,0,0,0,1
700,36,23.21,11.33,1950.0,650.0,2.0,2.0,4479.0,1.0,0.0,0.0,7.0,1,0,0,0,1,0
1000,60,23.26,13.29,3250.0,695.0,6.0,17.0,5490.0,0.0,0.0,0.0,6.0,0,0,0,0,0,1
700,36,23.35,12.38,1583.33,669.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
1000,60,23.51,11.86,2773.0,669.0,13.0,27.0,5484.0,3.0,0.0,0.0,5.0,0,0,1,0,0,0
1000,60,23.91,22.2,1000.0,669.0,9.0,15.0,5397.0,0.0,0.0,0.0,4.986808401639344,0,0,0,0,0,1
1000,60,24.16,19.2,500.0,669.0,7.0,17.0,3405.0,0.0,0.0,0.0,7.0,1,0,0,0,0,1
1200,60,24.27,3.5,2000.0,790.0,15.0,24.0,1204.0,0.0,0.0,0.0,3.0,0,0,0,0,0,1
1000,60,24.32,20.98,2750.0,695.0,10.0,20.0,12561.0,1.0,0.0,0.0,10.0,0,0,0,0,0,1
1000,60,24.73,15.6,1083.33,669.0,4.0,5.0,546.0,1.0,0.0,0.0,4.0,0,0,0,0,0,1
1000,60,24.73,20.75,400.0,695.0,11.0,15.0,1685.0,1.0,0.0,0.0,4.986808401639344,0,0,0,0,0,1
800,36,24.84,7.65,2916.67,770.0,8.0,15.0,19901.0,0.0,0.0,0.0,2.0,0,0,1,0,0,0
1000,60,24.96,15.05,2166.67,695.0,6.0,13.0,3438.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
700,36,24.99,26.42,1733.33,669.0,14.0,25.0,1878.0,3.0,0.0,0.0,0.0,0,0,0,0,0,1
750,36,25.02,24.0,1583.33,695.0,8.0,8.0,12220.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
1100,60,25.16,13.81,2317.0,770.0,7.0,21.0,1563.0,7.0,0.0,0.0,4.986808401639344,0,0,0,0,0,1
1200,60,25.28,11.95,11666.67,732.0,13.0,25.0,2523.0,0.0,0.0,0.0,6.0,0,0,1,0,0,0
1100,60,25.44,22.5,400.0,732.0,2.0,5.0,36.0,4.0,0.0,0.0,0.0,0,0,0,0,0,1
800,36,25.8,0.0,500.0,695.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
1100,60,26.51,2.09,2917.0,695.0,4.0,11.0,883.0,0.0,2.0,0.0,10.0,0,0,0,0,0,1
1200,60,26.84,20.43,4326.0,695.0,10.0,17.0,14133.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
1200,60,27.07,4.56,3794.17,695.0,7.0,18.0,2134.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1
1400,60,27.67,16.2,2666.67,732.0,8.0,10.0,340.0,1.0,0.0,0.0,3.0,0,0,0,0,0,1
1200,60,27.68,24.33,1200.0,695.0,9.0,14.0,289.0,1.0,1.0,0.0,4.986808401639344,0,0,0,0,1,0
1000,60,27.82,15.75,400.0,669.0,2.0,6.0,0.0,0.0,1.0,0.0,4.986808401639344,0,0,0,0,1,0
1300,60,28.01,27.69,5500.0,732.0,18.0,42.0,60673.0,0.0,0.0,0.0,10.0,0,0,0,0,0,1
900,36,28.47,0.32,4750.0,732.0,2.0,4.0,167.0,2.0,0.0,0.0,4.0,0,0,0,0,1,0
1200,60,28.5,21.21,3083.33,669.0,9.0,14.0,5500.0,1.0,0.0,0.0,10.0,0,0,0,0,0,1
1200,60,28.69,17.97,7083.33,669.0,8.0,50.0,3425.0,0.0,1.0,0.0,2.0,0,0,1,0,0,0
1200,60,28.92,0.0,2000.0,695.0,2.0,4.0,0.0,0.0,0.0,0.0,9.0,0,0,1,0,0,0
850,36,29.08,21.26,2333.33,650.0,9.0,15.0,14479.0,2.0,0.0,0.0,0.0,0,0,0,0,0,1
900,36,29.16,16.7,1000.0,695.0,4.0,4.0,3084.0,3.0,0.0,0.0,3.0,1,0,0,0,0,1
1200,60,29.44,12.27,2721.0,695.0,3.0,15.0,885.0,1.0,0.0,0.0,2.0,0,0,0,0,0,1
1200,60,29.47,10.54,7250.0,695.0,6.0,16.0,3565.0,1.0,0.0,0.0,2.0,0,0,0,0,0,1
925,36,30.02,11.85,16716.67,732.0,33.0,63.0,133963.0,15.0,0.0,0.0,2.0,1,0,1,0,0,0
1000,36,30.16,3.47,4176.0,790.0,5.0,14.0,4461.0,0.0,0.0,0.0,4.986808401639344,0,0,0,0,1,0
1000,36,30.16,3.81,4200.0,790.0,6.0,14.0,1440.0,1.0,0.0,0.0,1.0,0,0,0,0,0,1
1000,36,30.16,13.51,6700.0,770.0,6.0,18.0,32413.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
1000,36,30.16,11.54,11300.0,770.0,8.0,27.0,0.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
1000,36,30.16,15.55,3666.67,770.0,9.0,27.0,3121.0,0.0,0.0,0.0,10.0,0,0,0,0,0,1
1000,36,30.16,26.0,2400.0,790.0,14.0,29.0,3134.0,0.0,0.0,0.0,4.986808401639344,0,0,1,0,0,0
1000,36,30.16,28.85,5200.0,732.0,19.0,44.0,22010.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
900,36,30.29,25.11,1063.33,732.0,4.0,5.0,3584.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
1000,36,30.33,5.84,3200.0,770.0,6.0,10.0,5444.0,0.0,0.0,0.0,4.986808401639344,0,0,1,0,0,0
1000,36,30.33,2.12,2500.0,770.0,8.0,12.0,1178.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
1000,36,30.42,9.2,9583.33,732.0,6.0,35.0,4018.0,0.0,0.0,0.0,2.0,0,0,1,0,0,0
1400,60,30.44,8.75,2000.0,790.0,5.0,19.0,11040.0,4.0,0.0,0.0,10.0,0,0,1,0,0,0
1000,36,30.44,22.29,3333.33,770.0,9.0,34.0,15217.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1
1000,36,30.44,2.49,16666.67,770.0,10.0,20.0,24188.0,0.0,0.0,0.0,7.0,0,0,1,0,0,0
1000,36,30.44,11.43,5833.33,770.0,12.0,27.0,2777.0,1.0,0.0,0.0,4.0,0,0,1,0,0,0
1000,36,30.5,8.32,7500.0,732.0,14.0,25.0,11020.0,1.0,0.0,0.0,10.0,0,0,1,0,0,0
